CREC-2017-11-01-pt1-PgE1485-0|Mr. RUTHERFORD|R000609|CREC-2017-11-01-pt1-PgE1485|"  Mr. RUTHERFORD. Mr. Speaker, I rise today to ask the United States 
House of Representatives to join me in recognizing Meredith Corey-
Disch, a leader and business owner in my district, who was a recipient 
of a spot at the James Beard Foundation's Inaugural Class of the 
Women's Entrepreneurial Leadership Fellowship program. This program, 
hosted at the prestigious Babson College, aims to help female chefs and 
owners grow their businesses by cultivating women's leadership in the 
culinary industry.
   Meredith Corey-Disch and her business partner, Sarah Bogdanovitch, 
are exceptional entrepreneurs. Their business was founded on the belief 
that it should be local, community focused space that provides organic, 
traditional foods with shared work and fair pay. ``Community Loaves'' 
began in 2011 in Jacksonville, as an organic bike-delivered 
subscription bakery. The pair then opened a bread shop in 2014, where 
they served all-organic bread and pastries for breakfast and lunch. 
They kept the business community focused by holding special pizza 
nights and farm to table dinners in their garden and invited 
surrounding neighbors to these events.
   Meredith began her love of bread making through an apprenticeship in 
a bakery, while brainstorming ways she could start a business people 
would enjoy back in her hometown of Jacksonville. She can be described 
as thoughtful, kind, generous, and creative. With these skills, along 
with her passion of bread making, Meredith will continue to spread her 
passion throughout Northeast Florida. We need more creative small 
business owners like Meredith. She has been a true example of 
leadership for women in Northeast Florida and I look forward to seeing 
her future culinary successes.
   Mr. Speaker, I applaud Meredith Corey-Disch for her leadership in 
not only the culinary community, but in Northeast Florida as well.
"|0
CREC-2017-11-01-pt1-PgE1484-0|Mr. ROKITA|R000592|CREC-2017-11-01-pt1-PgE1484|"  Mr. ROKITA. Mr. Speaker, I was unable to vote on October 31, 2017 as 
my flight to Washington D.C. was delayed and prevented me from being on 
the House floor in time.
  Had I been present, I would have voted YEA on Roll Call No. 591.
"|0
CREC-2017-11-01-pt1-PgE1484-4-0|Mr. CARTER of Texas|C001051|CREC-2017-11-01-pt1-PgE1484-4|"  Mr. CARTER of Texas. Mr. Speaker, I rise today to honor Captain Skip 
Blancett, USN, Retired of Salado, Texas. With a career spanning over 
two decades, CAPT Blancett is a true patriot, a faith-filled citizen, 
and unquestionably a deserving recipient of a Congressional Veteran 
Commendation.
  CAPT Blancett joined the Navy at age 29 and was stationed in Guam, 
where he helped fulfill the spiritual needs of others. CAPT Blancett 
went on to serve his country in eight other stations around the world, 
with duties ranging from Public Affairs Officer, to teaching a course 
in the Naval War College, to furthering the spiritual state of his 
fellow sailors through various tactics with the Chaplain Corps.
  CAPT Blancett's love of country is matched only by his commitment to 
his community. Upon retirement, the call to serve continued to burn 
inside. CAPT Blancett has gracefully served as Mayor of Salado since 
2014 where he has been a champion of the Village's growing economy and 
its hard-working citizens. He is beloved by the Village of Salado for 
his leadership, commitment to faith, and passion for his community.
  CAPT Blancett serves the people of Salado with the same dedication, 
honor, and humility with which he served his country. He is an 
exemplary man who shows the utmost commitment to his family, community, 
and above all, his faith. May we all follow the example of great men 
such as CAPT Blancett, and live a life of hard work, loyalty and 
service to others.
"|0
CREC-2017-11-01-pt1-PgH8303-0|The SPEAKER pro tempore||CREC-2017-11-01-pt1-PgH8303|"  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
Louisiana (Mr. Abraham) for 5 minutes."|0
CREC-2017-11-01-pt1-PgH8303-1|Mr. ABRAHAM|A000374|CREC-2017-11-01-pt1-PgH8303|"  Mr. ABRAHAM. Mr. Speaker, I have a map beside me. It is not a Verizon 
or an AT&T map showing its coverage. What this is is a snapshot, a 
moment in time, of the number of airplanes in the United States' 
airspace at any moment, over 90,000 flights a day. Think about that. 
That is over 200,000 takeoffs and landings.
  We, in the United States, have the safest and the busiest airspace in 
the world; yet there are some in Congress who want to privatize this to 
a board made up of 13 members only. I personally think it is more of a 
monopolization, not a privatization of our airspace.
  This is the taxpayers' airspace. This is not the airspace that we 
should be giving away to a 13-member board, or the control of.
  Those who want to pass this AIRR Act, H.R. 2997, want us to compare 
it to Canada. Well, I have flown in Canada. Look at the map: below the 
line in the United States, above the line in Canada. It is not even 
apples to apples. It is not apples to oranges. It is apples to 
elephants.
  And you say, well, that makes no sense. No, it doesn't. It does not 
make any sense to give control of this airspace, where our wonderful 
men in uniform and women who fly the military aircraft, the pilots like 
myself, but, more importantly, the carriers that carry all of us to 
here and there, the ability to control this airspace.
  I am a small-government guy, Mr. Speaker, but there are three 
instances where government needs to be involved in the lives of our 
citizens: national defense, national intelligence, and national 
airspace.
  I would argue that I have probably been in more control towers than 
any Member of Congress, and when you walk in, there are wonderful 
controllers who are looking at modern equipment, computer screens, 
display lights, who are moving aircraft here and there, very 
efficiently, very professionally.
  There are those who have stood at this podium, Mr. Speaker, and held 
up pieces of paper like this and have scared our people into saying: 
Oh, this is the way controllers transfer control of airplanes from 
airspace to airspace.
  That is a gross mischaracterization of what is happening. They use 
this as a backup if a grid goes down, but they don't use it to move 
traffic. They use modern computers.

  The NextGen, or what we call the next generation of modernization of 
FAA, is called ADS-B, Automatic Dependent Surveillance-Broadcast. It 
allows separation of aircraft to come down. It has saved billions--that 
is with a B--in fuel and other costs, and yet we want to give all this 
modern equipment to the control of a 13-member board? I think not.
  We have all had delays in airports. Most of them, I will tell you, 
are weather. But how many of us have pulled up in a plane and we are 
waiting for another plane to back out of a gate? That is not an air 
traffic control issue. That is an issue with controlling the gates at 
the airport, and that goes back to the airlines.
  How many of us have been delayed because they come on and when we are 
just fixing to board the plane, oh, you have a maintenance issue, or we 
are waiting for another pilot crew to get off one aircraft to pilot 
your aircraft? Again, those who would want to pass this act would make 
you believe that that is air traffic control's fault. No, it does not 
have to do with air traffic control.
  CBO has said that if we give this airspace control to a 13-member 
private board, it will cause a $100 billion deficit addition--$100 
billion. The Congressional Review Service has said that if we do that, 
that automatically allows sequester to take place. We don't need that. 
We are trying to get out of that now. Our wonderful men and women in 
uniform are having a hard enough time meeting quotas, meeting 
equipment, meeting training, everything, because of the sequester.
  This would hurt military retirement funding. This would hurt our 
Border Patrol, men and women there protecting us from terrorist 
activity on a daily basis.
  Mr. Speaker, we need modernization, but we don't need privatization. 
It is a bad idea any way you look at it.
  We do need to pass a long-term FAA reauthorization act. I am all for 
that. Our FAA needs to have the stability of funding where they can 
look down the road more than 6 months at a time and plan for what is 
coming down and what they need to do to keep our airspace safe.
  So, Mr. Speaker, we don't need this H.R. 2997 passed. We need just to 
fund FAA for a long time.
"|1
CREC-2017-11-01-pt1-PgH8307-6-0|Mr. DENHAM|D000612|CREC-2017-11-01-pt1-PgH8307-6|"  Mr. DENHAM. Mr. Speaker, this week, we will see on the floor the 
Championing Healthy Kids Act. It will include a number of different 
reforms, which will include the Children's Health Insurance Program, 
the CHAMPION Act, and my bill, the CARE Act.
  We must increase access throughout our communities across the 
country. By expanding our residency program, we will see new doctors, 
especially in these underserved areas. Expanding our residency program 
will allow our medical schools to have people in our communities 
practicing medicine, and, ultimately, filling this doctor shortage that 
we have today.
  I look forward to the passing of the Championing Healthy Kids Act, 
which will, again, help our children with their health insurance 
coverage and expand our residency program at a much-needed time.
"|0
CREC-2017-11-01-pt1-PgH8374-0|The SPEAKER pro tempore||CREC-2017-11-01-pt1-PgH8374|"  The SPEAKER pro tempore. Under the Speaker's announced policy of 
January 3, 2017, the gentleman from Illinois (Mr. Lipinski) is 
recognized for 60 minutes as the designee of the minority leader.


                             General Leave
"|0
CREC-2017-11-01-pt1-PgH8374-1|Mr. LIPINSKI|L000563|CREC-2017-11-01-pt1-PgH8374|"  Mr. LIPINSKI. Mr. Speaker, I ask unanimous consent that all Members 
have 5 legislative days to revise and extend their remarks and include 
extraneous material on the topic of this Special Order."|1
CREC-2017-11-01-pt1-PgH8374-2|The SPEAKER pro tempore||CREC-2017-11-01-pt1-PgH8374|"  The SPEAKER pro tempore. Is there objection to the request of the 
gentleman from Illinois?"|2
CREC-2017-11-01-pt1-PgH8374-3|Mr. LIPINSKI|L000563|CREC-2017-11-01-pt1-PgH8374|"  Mr. LIPINSKI. Mr. Speaker, I rise today as a member of the Climate 
Solutions Caucus to speak on the issue of climate change. The caucus is 
a bipartisan group of members committed to implementing economically 
viable options to reduce climate risk.
  The caucus has a ``Noah's Ark'' membership rule. Members can only 
join in pairs, one from each party. Under the leadership of co-chairs 
Mr. Curbelo and Mr. Deutch, the caucus is helping to break the partisan 
gridlock on this issue and show that promoting climate solutions can be 
truly bipartisan.
  The formation and rapid growth of the Climate Solutions Caucus 
represents a recognition of both the challenges and opportunities and 
has demonstrated that there is bipartisan will to take action.
  In recognition of the fact that 60 Members of Congress have come 
together to fight climate change in a bipartisan fashion, I organized 
this time for my colleagues to join me on the floor to let the American 
people know what we, as their elected leaders, are doing to address 
climate change.
  We know, from scientific evidence, that our climate is changing. The 
global average temperature has increased by about 1.4 degrees 
Fahrenheit over the last 100 years. Sea levels are rising, the ocean is 
becoming more acidic, precipitation patterns are changing, and heat 
waves are becoming more frequent and longer in duration.
  Each of these changes produces a cascade of effects that impact our 
lives and livelihoods, including flooding, changes in crop yields, 
power shortages, declines in fisheries, and increases in cardiovascular 
disease.
  Recent events in our own country, such as devastating hurricanes in 
the Southeast and wildfires in the West have brought this issue to the 
forefront of everyone's minds. Now climate


change can't be directly blamed for all these problems, but the 
evidence strongly suggests that it contributes to each of them, and 
there are things that we can do to limit its effects.
  Climate change also has a significant impact on public health. A 
groundbreaking study published just this week in a medical journal, The 
Lancet, unequivocally showed that climate change is a serious public 
health threat. The study involved 24 institutions from around the world 
and included staggering statistics, such as the fact that air pollution 
caused 1.9 million premature deaths in Asia in 2015, and that the range 
of common disease-transmitting mosquitoes increased 9.5 percent since 
1950.
  We know that high temperatures exasperate health problems and that 
burning fossil fuels creates pollution that causes cardiovascular 
disease. The National Academies estimate that air pollution causes 
around $120 billion per year in health-related damages, including 
healthcare costs, missed days of work and school, and premature death.
  We also know that changing climate has altered the range, in some 
cases accelerated the spread of vector-borne diseases likes Zika and 
the West Nile virus. Responsibly transitioning to a clean energy 
economy will not only reduce the greenhouse gas emissions that 
contribute to climate change, but it will also reduce air pollution and 
help all Americans breathe easier.
  What I want to talk about for a few minutes, before I turn to some of 
my colleagues, is a very common misperception about the relationship 
between implementing climate solutions and growing jobs.
  Some people think that this is a zero-sum game. That is, they think 
if you have more of one, you get less of the other. But that is simply 
not true.
  Implementing climate solutions can grow jobs, especially new high-
paying jobs. The U.S. needs to take advantage of these economic 
opportunities. Regardless of what we do here in the U.S., the rest of 
the world has committed to reducing greenhouse gas emissions and 
reaching the targets laid out in the Paris Agreement, as have many 
cities, States, and companies here at home.
  To achieve that goal, significant technological development and 
innovation will be needed, as well as infrastructure, markets, and 
distribution channels to get that technology to the people and places 
that need it.
  The national economies that produce this clean energy technology will 
benefit greatly. The U.S. still leads the world in technology and 
innovation. Countries around the world try to recreate the innovation 
ethos that exists in Silicon Valley and in other places across our 
Nation.
  The United States also has the workers who are needed to build these 
innovations. So we have what it takes, and if we seize the opportunity 
to invest in clean and climate-resilient technologies, then our economy 
and the American people will benefit as the world adapts to climate 
change and America grows good-paying jobs all across our Nation.
  But if we let this opportunity pass us by, then profits and jobs will 
instead flow to foreign countries that develop the technologies the 
world needs, and American cities and States will be forced to buy 
foreign products as they upgrade to climate-resilient infrastructure.


  That is why I will soon be introducing a bill called Challenges and 
Prizes for Climate Act. This bill will establish five or more prize 
challenges overseen by the Department of Energy to harness the 
ingenuity of the research community in the private sector to solve big, 
complex climate problems.
  Challenges have been used in the past by a wide range of 
organizations, including the XPRIZE, who used the challenge to jump-
start the commercial space transportation industry. This industry is 
now flourishing.
  I was just recently at SpaceX in California and saw their impressive 
manufacturing facility they have there. The U.S. is now relying on 
SpaceX in order to bring supplies up to the International Space Station 
and their plans to soon be flying astronauts. This commercial space 
transportation industry began with those who reached to try to meet 
this challenge and get the XPRIZE.
  The Federal Trade Commission also used the prize challenge to help 
bring a robocall blocking service to the market, something that we can 
all very much appreciate. That is why I am going this direction.
  My bill will create challenges that fall under five themes: carbon 
capture and reuse, energy efficiency, energy storage, climate 
adaptation and resiliency, and data analytics for better climate 
predictions.
  Using authority from the America COMPETES Act, the Department of 
Energy will convene working groups from across agencies, universities, 
nonprofits and the private sector to help plan the challenges, and even 
to contribute to the prizes.
  The goal of the challenge is not just to reward the winner of the 
best solution, but also to bring visibility to the range of innovations 
competing for the prize and to help society envision the future. This 
bill will help us see what our clean energy future will look like, and 
I urge all of my colleagues to support it.
  Mr. Speaker, I want to begin hearing from the bipartisan group of 
climate leaders who have joined me here on the floor this evening.
  Mr. Speaker, I yield to the gentleman from Pennsylvania (Mr. 
Fitzpatrick), my Republican colleague."|3
CREC-2017-11-01-pt1-PgH8374-4|Mr. FITZPATRICK|F000466|CREC-2017-11-01-pt1-PgH8374|"  Mr. FITZPATRICK. Mr. Speaker, I thank my colleague, Mr. Lipinski, for 
his leadership on this issue.
  Mr. Speaker, serving as good stewards of our environment is something 
that each and every one of us are called to do no matter who we are or 
where we come from.
  It is critical in order to preserve public health. The reality is 
climate change is real and humans are a contributing factor. Congress 
must take serious and reasonable steps to combat it.
  As an Eagle Scout and a conservationist who grew up in Bucks County, 
Pennsylvania, I have always been captivated by the natural beauty of 
our open spaces and wild places. We have it all in Bucks County: 
preserved farmland, amazing parks, expansive forests, and historic 
rivers. I believe that with these natural treasures comes a special 
responsibility to care for and protect our natural resources at the 
local, State, and Federal level.
  Climate change and the irresponsible management of our resources put 
a strain on the health of our communities and our children. Clean air 
and clean water are essential to the health, safety, and well-being of 
the next generation of Americans.
  Mr. Speaker, protecting our Nation's open spaces unites us as 
Americans. That is why I joined 16 other House Republicans on House 
Resolution 195 to encourage American innovation to improve 
environmental policy and to protect, conserve, and be good stewards of 
our environment.
  I introduced the Udall-Eisenhower Arctic Wilderness Act, H.R. 1889, 
with Congressman Jared Huffman from California. This bill designates 
the 1.5 million-acre land of the Arctic National Wildlife Refuge as a 
component of the National Wilderness Preservation System to protect it 
from damaging activities like oil and gas drilling.
  I have voted to protect the methane rule for stream protections.
  The Climate Solutions Caucus will continue to be the group that shows 
Washington how to forego the political gamesmanship and get to work on 
ways we can improve our environment, address the realities of climate 
change, and increase innovation with an eye towards sustainability.
  Protecting our environment cannot be partisan, Mr. Speaker. We have 
to come together to get this done as Americans."|4
CREC-2017-11-01-pt1-PgH8374-5|Mr. LIPINSKI|L000563|CREC-2017-11-01-pt1-PgH8374|"  Mr. LIPINSKI. Mr. Speaker, I thank Mr. Fitzpatrick for his leadership 
and jumping in, in his firm term here in the House leadership, on 
coming to solutions on climate change.
  Mr. Speaker, I yield to the gentleman from California (Mr. McNerney), 
my colleague who I have been working with for a number of years here in 
the House, a very dedicated Member, especially when it comes to issues 
of science and climate change."|5
